application_id,start_date,completion_date,city
10030924,2018-07-08T06:31:24.636Z,2018-10-24T15:27:12.831Z,Chicago
10030930,2018-07-08T13:05:14.953Z,2018-07-08T13:22:26.184Z,Chicago
10030940,2018-07-08T17:30:46.783Z,2019-03-11T12:12:19.335Z,Chicago
10030942,2018-07-08T22:14:04.653Z,2019-07-22T05:16:21.136Z,Los Angeles
10030961,2018-07-09T14:34:43.143Z,2018-07-09T14:45:42.104Z,Chicago
10030969,2018-07-09T16:15:18.634Z,2018-07-09T16:35:17.085Z,Chicago
10030981,2018-07-09T17:35:59.216Z,2018-07-10T12:42:50.506Z,Chicago
10031044,2018-07-11T20:30:47.558Z,2018-07-11T20:54:40.711Z,Los Angeles
10031060,2018-07-12T15:36:22.197Z,2018-07-12T17:51:43.403Z,Los Angeles
10031064,2018-07-12T17:35:32.951Z,2018-07-21T07:27:01.911Z,Chicago
10031090,2018-07-13T19:48:00.769Z,2018-07-13T20:22:38.307Z,Chicago
10031091,2018-07-13T21:18:30.635Z,2018-07-13T22:14:07.027Z,Los Angeles
10031116,2018-07-15T14:26:57.737Z,2018-07-15T14:50:32.002Z,Chicago
10031120,2018-07-15T14:33:09.320Z,2018-07-15T14:49:31.712Z,Chicago
10031130,2018-07-16T03:17:30.692Z,2018-07-16T04:02:30.712Z,Chicago
10031137,2018-07-16T03:53:03.501Z,2018-07-16T04:24:43.210Z,Los Angeles
10031146,2018-07-16T11:17:12.022Z,2018-07-16T11:33:08.807Z,Chicago
10031150,2018-07-16T13:46:10.551Z,2018-07-16T21:19:28.111Z,Chicago
10031151,2018-07-16T16:32:09.958Z,2018-07-16T16:51:25.062Z,Chicago
10031162,2018-07-16T23:37:35.096Z,2018-07-16T23:55:06.970Z,Los Angeles
10031171,2018-07-17T04:23:48.468Z,2018-07-17T04:46:26.360Z,Chicago
10031172,2018-07-17T08:59:40.630Z,2018-07-17T09:18:06.061Z,Chicago
10031193,2018-07-17T18:44:23.260Z,2018-07-17T19:17:00.298Z,Chicago
10031214,2018-07-17T19:23:56.873Z,2018-07-17T19:38:42.668Z,Chicago
10031218,2018-07-17T19:24:43.898Z,2018-07-17T19:46:50.611Z,Chicago
10031224,2018-07-17T19:26:32.462Z,2018-08-16T22:27:37.401Z,Chicago
10031225,2018-07-17T19:26:52.459Z,2018-07-17T19:48:44.668Z,Chicago
10031246,2018-07-17T20:10:21.860Z,2018-07-17T20:38:15.065Z,Chicago
10031262,2018-07-17T21:11:57.543Z,2019-05-14T01:43:34.929Z,Chicago
10031280,2018-07-17T23:59:59.812Z,2018-07-18T00:11:55.362Z,Chicago
10031282,2018-07-18T00:07:39.282Z,2018-07-18T00:33:35.202Z,Chicago
10031290,2018-07-18T00:38:55.961Z,2018-07-18T01:00:23.571Z,Chicago
10031293,2018-07-18T00:42:39.367Z,2018-07-18T01:06:56.358Z,Chicago
10031313,2018-07-18T01:59:10.436Z,2018-07-18T02:17:58.309Z,Chicago
10031319,2018-07-18T03:22:35.706Z,2018-07-18T03:42:30.304Z,Chicago
10031321,2018-07-18T03:24:50.855Z,2018-07-18T10:40:52.801Z,Chicago
10031331,2018-07-18T06:15:15.035Z,2018-07-18T06:35:39.666Z,Chicago
10031345,2018-07-18T16:44:22.612Z,2018-07-18T17:13:30.461Z,Chicago
10031361,2018-07-19T14:24:56.568Z,2018-07-19T14:38:31.170Z,Chicago
10031366,2018-07-19T16:37:53.013Z,2018-07-19T17:27:49.666Z,Chicago
10031387,2018-07-19T23:53:56.033Z,2018-07-20T00:15:08.712Z,Chicago
10031400,2018-07-20T14:38:40.077Z,2018-07-20T15:20:50.200Z,Chicago
10031418,2018-07-20T19:15:33.625Z,2018-07-21T00:19:49.409Z,Chicago
10031421,2018-07-20T19:39:56.719Z,2018-07-20T19:57:17.898Z,Chicago
10031422,2018-07-20T20:52:16.931Z,2018-07-20T21:20:47.774Z,Chicago
10031426,2018-07-20T23:13:26.077Z,2018-07-20T23:23:30.707Z,Chicago
10031430,2018-07-21T01:48:50.914Z,2019-06-25T07:34:01.257Z,Chicago
10031436,2018-07-22T04:43:31.404Z,2018-07-22T05:23:25.574Z,Chicago
10031460,2018-07-23T15:03:29.767Z,2018-10-04T20:52:39.521Z,Chicago
